Timestamp (UTC),Day created,Time created,Content,Total Likes,Total Comments,Total Shares,Post Type
Wed Sep 07 16:03:00 UTC 2016,Wednesday,16:03:00,"For nearly a year now, Shaw Academy has illustrated their support of Hire Heroes USA by providing transitioning military, veterans and military family members free access to a variety of their courses. Now, as part of their continued support, Shaw Academy has expanded their offerings beyond the 23 courses that they initially offered! Five more programs are now available: Health and Fitness, Child Nutrition, Psychology of Sales, Fast Track Business Success, and Budgeting.  



To see all the courses Shaw Academy offers Hire Heroes USA, please visit: www.shawacademy.com/hireheroesusa",21,0,8,LINK
Wed Sep 07 14:35:35 UTC 2016,Wednesday,14:35:35,"Did you know that Hire Heroes USA has an ever-growing list of partner organizations that - together - offer a wide variety of training programs for transitioning military members, veterans and military spouses? The information is always available on our website, so check it out, and visit regularly. We are always adding new opportunities.",27,0,10,LINK
Wed Sep 07 11:59:32 UTC 2016,Wednesday,11:59:32,"Starting today, we have USO workshops in Fort Hood, Tampa and Norfolk! Next week, we'll be in Vegas, Camp Pendleton, and across the Atlantic at Ramstein and Spangdahlem Air Base in Germany! You can always check out all our upcoming workshops - and register for them - on our website:",15,0,7,LINK
Mon Sep 05 16:51:30 UTC 2016,Monday,16:51:30,"Start a new tradition this Labor Day by becoming a member of our elite team! Join Hire Heroes USA's Quartermaster Club, our new monthly giving program. Your donation helps us assist more transitioning military members, veterans and military spouses to get the tools they need to be successful in the civilian workforce.",10,0,4,LINK
Mon Sep 05 12:50:41 UTC 2016,Monday,12:50:41,"Veterans, military members and military spouses: Register today with Hire Heroes USA and get equipped with the tools you need for success in the civilian workforce. https://www.hireheroesusa.org/get-registered/",31,0,14,LINK
Sat Sep 03 20:00:30 UTC 2016,Saturday,20:00:30,"We are holding another Transition Workshop in Idaho later this month - this time at Mountain Home Air Force Base Gunfighters!

Register now for this great 2-day event and help us spread the word to your fellow military members! Mission43",24,0,6,LINK
Sat Sep 03 12:05:18 UTC 2016,Saturday,12:05:18,"Special thanks to our friends and partners at the Call of Duty Endowment for their continued support. Together, we share a mission to empower transitioning military members, veterans and military spouses to achieve success in the civilian workforce. It's a passion for our nonprofit and our team, as we strive to make a difference in the lives of these men and women every day.",7,0,3,LINK
Fri Sep 02 14:52:15 UTC 2016,Friday,14:52:15,"It's Friday, so here's another great profile to share in our weekly veteran spotlight series:  



This week, the world paid tribute to comic genius and beloved actor Gene Wilder. Did you know that the man perhaps best known for his movie roles as Willy Wonka and Leopold Bloom was also a U.S. Army veteran? Details on that and more in this Washington Post article from 2005:",38,0,6,LINK
Thu Sep 01 22:50:34 UTC 2016,Thursday,22:50:34,"Starting today, you can be part of an elite team by joining our Quartermaster Club - Hire Heroes USA's new monthly giving program. Your monthly donation helps our nonprofit provide best-in-class career counseling services to even more military members, veterans and military spouses. Learn more & join today!",20,0,17,LINK
Wed Aug 31 15:12:01 UTC 2016,Wednesday,15:12:01,"Behind the Scenes: Several members of our Alpharetta team are ""Extras"" in a PSA/commercial shoot for #HireHeroesUSA today - #film #empowervets #military #veterans",25,1,4,PHOTO
